album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
白日梦,言和,male,2020/7/11,8,4,82672,0,82672,0,0,0
Loading...,GENERATIONS from EXILE TRIBE,male,2020/11/18,5,3,73205,0,73180,0,0,25
Dreaming,圭贤,male,2020/7/23,3,1,73056,65658,0,6807,591,0
暗适应ЯEMOTION,初音ミク,female,2020/6/5,10,8,71820,27860,0,43150,810,0
深海阳光,田燚,female,2019/2/18,3,1,71130,24057,0,19599,27474,0
SHONEN CHRONICLE,GENERATIONS from EXILE TRIBE,male,2019/11/21,8,17,67448,0,67208,0,0,240
Party Starters,嵐,male,2020/10/30,3,1,65310,21645,42165,1311,54,135
???? 7th Mini Album [Unforgettable],Lovelyz,female,2020/9/1,12,6,65196,0,65196,0,0,0
平和世界,Mario,male,2019/7/29,12,7,64716,0,64716,0,0,0
The Archer,Taylor Swift,female,2019/7/23,2,1,64684,0,64684,0,0,0
Anthology 3,The Beatles,male,1996/10/28,60,50,62638,32820,15240,7296,7102,180
Yellow Submarine (Remastered),The Beatles,male,1969/1/17,22,13,61352,13024,46948,954,294,132
Magical Mystery Tour (Remastered),The Beatles,male,1967/11/27,22,11,60920,16830,40502,3066,390,132
没有什么不可以,董又霖,male,2020/6/14,3,1,60042,0,60042,0,0,0
A Hard Day's Night (Remastered),The Beatles,male,1964/7/10,22,13,57014,13058,40502,2282,1172,0
大卫,丁泽仁,male,2019/11/26,3,1,55827,0,55638,0,0,189
Little Fish,MADILYN,female,2020/8/7,5,3,51845,0,51845,0,0,0
The Beatles (White Album / Deluxe),The Beatles,male,1968/11/22,60,57,50522,17160,29340,2514,488,1020
放学,初音ミク,male,2019/10/17,10,5,49830,23170,0,25530,1130,0
Never Give Up,杨超文,male,2020/9/28,3,1,49166,12290,2184,7554,27138,0
With The Beatles (Remastered),The Beatles,male,1963/11/22,22,14,48842,12496,34650,1290,406,0
ヒラヒラ,GENERATIONS from EXILE TRIBE,male,2020/4/15,5,2,48805,0,48635,0,0,170
What If,谭晶,female,2020/1/6,3,1,48258,23091,0,24597,570,0
A,上官喜爱,female,2020/7/22,5,3,48180,0,48180,0,0,0
Past Masters (Vols. 1 & 2 / Remastered),The Beatles,male,1988/3/7,40,33,47362,20320,23160,2134,1748,0
唐,王三溥,male,2019/5/22,20,12,47120,0,47120,0,0,0
甜甜的小美满,刘人语,female,2020/4/10,3,1,44283,35022,0,7938,1323,0
Let It Be... Naked (Remastered),The Beatles,male,2003/11/17,22,11,41880,18700,20922,1110,1148,0
Splash!,李镇赫,male,2020/6/30,12,6,41508,0,41508,0,0,0
遇见光之时,杨桐 (Toarey Yang),male,2019/4/17,5,3,40805,0,40805,0,0,0
靠近,徐梦圆,female,2020/4/28,6,6,39234,5952,27366,5586,330,0
夜游会,乐正龙牙,male,2020/10/2,8,4,36536,0,36536,0,0,0
Remanufactured.,STOLEN秘密行动,male,2020/3/2,8,4,35616,0,35616,0,0,0
Anthology 1,The Beatles,male,1995/11/20,60,60,34690,14760,15480,3164,1106,180
Side B,墨清弦,male,2020/5/20,8,4,34112,0,34112,0,0,0
恋爱讯号,周锐,male,2020/10/22,3,1,33318,0,33318,0,0,0
晚晴,薇娅viya,female,2020/1/13,3,1,32751,0,32751,0,0,0
Anthology 2,The Beatles,male,1996/3/18,60,45,32530,11220,17280,2958,832,240
Beatles For Sale (Remastered),The Beatles,male,1964/12/4,22,14,31236,9350,20306,1220,360,0
339 EP,HARIKIRI / Bohan Phoenix / 马思唯 / J.Mag,male,2020/7/29,12,8,28836,0,28836,0,0,0
鹿先森乐队“华年”北京工体演唱会Live专辑,鹿先森乐队,male,2019/4/16,6,24,27654,0,27654,0,0,0
香水月季,贺俊雄,male,2020/7/9,6,3,26952,24240,0,1824,888,0
Real Love Is...,椅子乐团 The Chairs,male,2020/10/16,16,9,26656,7232,18640,672,80,32
我的意中人,叶里,male,2019/1/12,5,3,25120,0,25120,0,0,0
Anthology Highlights,The Beatles,male,2011/6/14,22,23,23976,5808,15268,644,2256,0
Live At The Hollywood Bowl,The Beatles,male,2016/9/9,22,17,22954,4070,18370,214,300,0
astrology,bbno$,male,2020/7/17,3,1,22665,0,22665,0,0,0
「上映」· 点亮现场Live,宫阁,male,2020/10/21,12,13,19992,0,19992,0,0,0
岁月如歌,姜昕,female,2020/7/15,20,10,18820,0,18820,0,0,0
Still on My Mind,Dido,male,2019/3/8,6,12,17262,0,17262,0,0,0
"Cannot Be, Whatsoever",Novo Amor,male,2020/11/6,18,10,16362,2178,13554,594,36,0
INFINITY,雨洛Huge,male,2019/5/7,15,9,15390,0,15390,0,0,0
Live At The BBC (Remastered),The Beatles,male,1994/11/30,40,71,13190,2864,8600,914,812,0
good luck have fun,bbno$,female,2020/10/9,20,13,12500,0,12500,0,0,0
On Air - Live At The BBC (Vol.2),The Beatles,male,2013/11/11,40,63,12034,4708,5960,646,720,0
小期待,秦牛正威,female,2020/8/10,3,1,9402,0,9402,0,0,0
我说，你听,安九,female,2020/4/15,8,8,8162,3810,0,4188,164,0
呼啸旅程,呼戈,female,2020/1/18,25,10,6299,4028,0,1768,503,0
王贝贝,王文颖,female,2019/9/8,24,8,6024,0,6024,0,0,0
Singing to Strangers,Jack Savoretti,male,2019/3/15,6,15,5670,0,5670,0,0,0
眼,Chui Wan,male,2019/9/27,10,10,3190,0,3060,0,0,130
Step Back In Time: The Definitive Collection,Kylie Minogue,female,2019/6/28,6,42,2970,0,2970,0,0,0
她是女人,汤笛,male,2020/7/22,5,1,2070,0,2070,0,0,0
说不得,莫奇MY,male,2019/8/13,8.13,6,1552.83,0,1552.83,0,0,0
PHASES,Chase Atlantic,male,2019/6/28,6,12,1458,0,1458,0,0,0
K.R.I.T. IZ HERE,Big K.R.I.T.,male,2019/7/11,6,19,1212,0,1212,0,0,0
Honey Bones,DOPE LEMON,male,2019/7/12,6,10,570,0,570,0,0,0
Lockdown Lullabies,Emma Stevens,male,2020/7/24,8,4,424,0,424,0,0,0
‘90s Country,Homegrown Kids,male,2019/6/28,6,10,210,0,210,0,0,0
Eric B For President: Term 3,Eric Bellinger,male,2020/10/30,18,9,0,0,0,0,0,0
