album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
25,吴宣仪,female,2020/9/25,7,3,1579886,0,1579375,0,0,511
Reload,NCT DREAM,male,2020/4/29,15,5,1579110,1483800,0,87120,8190,0
Remember,WINNER,male,2020/4/9,18,12,1569420,1497096,0,68436,3888,0
One More Light,Linkin Park,male,2017/5/19,12,10,1561846,1379134,0,124668,57228,816
NCT - The 2nd Album RESONANCE Pt.2,NCT,male,2020/11/23,36,21,1555380,1495524,0,54190,5666,0
Fant?me,宇多田光,female,2016/9/28,20,11,1517842,535074,916880,46600,19288,0
U-Night Flight,UNINE,male,2020/5/6,11,11,1510520,1351812,0,113344,42306,3058
Let's shut up & dance (Dedicated to Michael Jackson),Jason Derulo / 张艺兴 / NCT 127,male,2019/2/22,6,2,1508844,852990,0,530166,125688,0
CROSS,WINNER,male,2019/10/23,18,6,1494090,1401264,0,83700,9126,0
folklore: the long pond studio sessions (from the Disney+ special),Taylor Swift,female,2020/11/25,35,34,1462782,636740,707945,112308,5054,735
0+1=1 (I PROMISE YOU),Wanna One,male,2018/3/19,18,7,1457586,1297350,0,145998,14238,0
Keep Online YES版,X玖少年团,male,2018/2/14,8,4,1414852,169916,0,281038,963898,0
睡皇后,邓紫棋,female,2018/12/14,7,3,1408883,1154412,0,233436,19978,1057
1÷x=1 (UNDIVIDED),Wanna One,male,2018/6/4,15,5,1397115,1261665,0,123315,12135,0
A.I. 爱：第二集,王力宏,male,2017/10/13,5,2,1394210,1348350,0,34770,11090,0
Four Seasons - Single,太妍,female,2019/3/24,6,2,1354764,1175418,0,166032,13314,0
毒苹果,邓紫棋,female,2018/10/26,7,3,1322355,1088660,0,215131,12691,5873
FLOWER SHOWER,泫雅,female,2019/11/5,3,1,1316253,1085634,0,213246,17373,0
Super One - The 1st Album,SuperM,male,2020/9/25,28,15,1306424,1208676,0,92932,4816,0
Go with the Flow,木村拓哉,male,2020/1/8,25,13,1300525,317550,670000,303700,5975,3300
黑夜问白天,林俊杰,male,2017/12/25,2,1,1295770,1021986,95962,155454,22368,0
1-1=0(NOTHING WITHOUT YOU),Wanna One,male,2017/11/13,10,11,1238000,1077330,0,139470,21200,0
K,李希侃,male,2018/12/3,6,3,1222914,1057404,0,109422,56088,0
? ?? ??? (Without You),黄致列,male,2016/4/26,2,1,1208602,1208602,0,0,0,0
AMH,王子异,male,2018/7/13,3,1,1206939,1065996,0,69651,71292,0
当你和心跳一起出现,萧亚轩,female,2019/12/20,3,1,1156251,1056567,0,80589,19095,0
让大雨落下(Let it rain),岳岳,male,2019/7/12,3,1,1147617,1132548,0,12501,1815,753
1X1=1(TO BE ONE),Wanna One,male,2017/8/7,10,7,1116660,966760,0,121270,28630,0
莫尔MORE ? 乌托邦第3章 ? 数字EP,张紫宁,female,2020/9/6,6,3,1095918,0,1095918,0,0,0
欲控,毕雯珺,male,2020/11/21,3,1,1095414,0,1095132,0,0,282
Love,The Beatles,male,2006/11/20,22,28,1064396,438020,619762,4720,1894,0
逆流而上,罗云熙,male,2019/7/28,3,1,1062369,0,1050210,0,0,12159
我们羞于表达的感情,新裤子 / 大张伟,male,2019/11/28,3,1,1058091,438714,556074,55629,7674,0
Black Swan,BTS (防弹少年团),male,2020/1/17,3,1,1046484,0,1046484,0,0,0
25,Adele,female,2015/11/20,15,11,1043430,0,820935,209130,13365,0
Stay With You (英文版),林俊杰 / 孙燕姿,female,2020/8/9,3,1,1025919,555243,318369,119304,28053,4950
CENTER,管栎,male,2020/10/15,15,8,1022865,0,1018005,0,0,4860
孤独与诗,鞠婧祎,female,2019/6/18,3,1,1015959,718833,0,264975,32151,0
TIMELESS - The 9th Album Repackage,Super Junior,male,2020/1/28,20,14,995375,873060,0,108855,13460,0
Smile,Katy Perry,female,2020/8/28,25,14,993568,511428,423450,37225,3065,18400
SHOW THE WORLD,林俊杰,male,2019/6/20,3,1,965757,764739,0,147504,52248,1266
LOSE CONTROL,张艺兴,male,2016/10/28,5,6,959395,739450,0,183745,36200,0
致亲爱的你 (Dear my dear),CHEN,male,2019/10/1,18,6,952308,831348,0,108972,11988,0
Stay Gold,BTS (防弹少年团),male,2020/6/19,3,1,947115,158223,752154,22998,12705,1035
